Date;Name;ISIN;MarketCap;ESGScore;ESGGrade;EconomicSector;Index;RebalanceDate;HoldingPeriodEnd;Eligible;PortfolioSide;ESGRankWithinSide;Weight_BL;BL_NumAssets
2022-01-01;BRENNTAG ORD;DE000A1DAHH0;12295110000.0;56.1129;B-;Basic Materials;DAX;2022-01-03;2022-12-30;True;Bottom;2;0.0;10
2022-01-01;HELLOFRESH SEORD;DE000A161408;11748061456.0;66.604;B;Consumer Non-Cyclicals;DAX;2022-01-03;2022-12-30;True;Bottom;3;0.013656587508192774;10
2022-01-01;E.ON ORD;DE000ENAG999;32202958810.0;67.6836;B+;Utilities;DAX;2022-01-03;2022-12-30;True;Bottom;4;0.1583230263862896;10
2022-01-01;RWE ST A ORD;DE0007037129;24154580115.0;68.3555;B+;Utilities;DAX;2022-01-03;2022-12-30;True;Bottom;5;0.0;10
2022-01-01;BEIERSDORF ORD;DE0005200000;22775760000.0;68.91;B+;Consumer Non-Cyclicals;DAX;2022-01-03;2022-12-30;True;Bottom;6;0.2219360086792942;10
2022-01-01;ZALANDO ORD SHS;DE000ZAL1111;18639479258.0;70.736;B+;Technology;DAX;2022-01-03;2022-12-30;True;Bottom;7;1.0760706561918632e-17;10
2022-01-01;SIEMENS HEALTHINEERS AG ORD;DE000SHL1006;74244960000.0;74.5668;B+;Healthcare;DAX;2022-01-03;2022-12-30;True;Bottom;8;0.2656792781943564;10
2022-01-01;CONTINENTAL ORD;DE0005439004;14157016894.0;74.8853;B+;Consumer Cyclicals;DAX;2022-01-03;2022-12-30;True;Bottom;9;0.050652277658112865;10
2022-01-01;DEUTSCHE BOERSE AG ORD;DE0005810055;27949000000.0;75.9843;A-;Financials;DAX;2022-01-03;2022-12-30;True;Bottom;10;0.2897528215737542;10
2022-01-01;SAP SE ORD;DE0007164600;153000000000.0;93.7388;A+;Technology;DAX;2022-01-03;2022-12-30;True;Top;1;0.49613781046925487;10
2022-01-01;BAYER AG;DE000BAY0017;46173931854.0;92.7449;A+;Healthcare;DAX;2022-01-03;2022-12-30;True;Top;2;0.21692976764171432;10
2022-01-01;DAIMLER AG ORD;DE0007100000;72310313043.0;91.7857;A+;Consumer Cyclicals;DAX;2022-01-03;2022-12-30;True;Top;3;0.12744333511238257;10
