Index;PortfolioSide;Strategy;Year;AnnualReturn
SP100;Bottom;Annual_Equal_MinusBenchmark;2015;-0.011185635995750287
SP100;Bottom;Annual_Equal_MinusBenchmark;2016;0.07950511161391516
SP100;Bottom;Annual_Equal_MinusBenchmark;2017;0.03674132739614078
SP100;Bottom;Annual_Equal_MinusBenchmark;2018;-0.0037577046428006744
SP100;Bottom;Annual_Equal_MinusBenchmark;2019;-0.006080794457215766
SP100;Bottom;Annual_Equal_MinusBenchmark;2020;0.018729413083009794
SP100;Bottom;Annual_Equal_MinusBenchmark;2021;-0.0857485307417235
SP100;Bottom;Annual_Equal_MinusBenchmark;2022;0.009164613106070751
SP100;Bottom;Annual_Equal_MinusBenchmark;2023;-0.029478958232995067
SP100;Bottom;Annual_Equal_MinusBenchmark;2024;0.09598291236833689
SP100;Bottom;Annual_MCap;2015;0.03748339871952289
SP100;Bottom;Annual_MCap;2016;0.1913488192617041
SP100;Bottom;Annual_MCap;2017;0.2943283565257582
SP100;Bottom;Annual_MCap;2018;-0.09551332347659847
SP100;Bottom;Annual_MCap;2019;0.28434139100025324
SP100;Bottom;Annual_MCap;2020;0.19706772803075823
SP100;Bottom;Annual_MCap;2021;0.15360011711002985
SP100;Bottom;Annual_MCap;2022;-0.08658863369592906
SP100;Bottom;Annual_MCap;2023;0.16220861324259794
SP100;Bottom;Annual_MCap;2024;0.34802290849379425
SP100;Bottom;Annual_MCap_MinusBenchmark;2015;0.03587816656365983
SP100;Bottom;Annual_MCap_MinusBenchmark;2016;0.10163859040649692
SP100;Bottom;Annual_MCap_MinusBenchmark;2017;0.09026128431996416
SP100;Bottom;Annual_MCap_MinusBenchmark;2018;-0.03328604039307115
SP100;Bottom;Annual_MCap_MinusBenchmark;2019;-0.007142451661672711
SP100;Bottom;Annual_MCap_MinusBenchmark;2020;-0.01957916925936043
SP100;Bottom;Annual_MCap_MinusBenchmark;2021;-0.09582082556277238
SP100;Bottom;Annual_MCap_MinusBenchmark;2022;0.16894513647442433
SP100;Bottom;Annual_MCap_MinusBenchmark;2023;-0.12281507217846388
SP100;Bottom;Annual_MCap_MinusBenchmark;2024;0.024209197060057974
SP100;Bottom;Annual_RiskParity;2016;0.22084343909739457
SP100;Bottom;Annual_RiskParity;2017;0.25398643133255305
SP100;Bottom;Annual_RiskParity;2018;-0.08936768831078346
SP100;Bottom;Annual_RiskParity;2019;0.2554769371216057
SP100;Bottom;Annual_RiskParity;2020;0.12499419471965978
SP100;Bottom;Annual_RiskParity;2021;0.1511675272250277
SP100;Bottom;Annual_RiskParity;2022;-0.10107673969743936
SP100;Bottom;Annual_RiskParity;2023;0.13533164244170082
SP100;Bottom;Annual_RiskParity;2024;0.3095543637815956
SP100;Bottom;Annual_RiskParity_MinusBenchmark;2016;0.12983345128419566
SP100;Bottom;Annual_RiskParity_MinusBenchmark;2017;0.05533421746281353
SP100;Bottom;Annual_RiskParity_MinusBenchmark;2018;-0.028357746564186326
SP100;Bottom;Annual_RiskParity_MinusBenchmark;2019;-0.0296695069868107
