Period;Index;PortfolioSide;Strategy;NumMonths;Alpha_Monthly;Alpha_tstat;Alpha_pvalue;Beta_Mkt;Beta_SMB;Beta_HML;R_squared;Alpha_Annualised
2020-2024;DAX;Top;Annual_RiskParity;60;-0.041;-0.144;0.8853;0.835;-0.258;0.266;0.78;-0.494
2020-2024;DAX;Top;Annual_RiskParity_MinusBenchmark;60;-0.43;-1.635;0.1021;-0.038;-0.025;0.118;0.077;-5.16
2020-2024;DAX;Top;BuyHold_Equal;60;0.048;0.143;0.886;0.99;-0.289;0.176;0.819;0.573
2020-2024;DAX;Top;BuyHold_Equal_MinusBenchmark;60;-0.112;-0.495;0.6206;0.108;-0.271;-0.036;0.094;-1.345
2020-2024;DAX;Top;BuyHold_MCap;60;0.252;0.719;0.4721;0.988;-0.337;0.265;0.8;3.022
2020-2024;DAX;Top;BuyHold_MCap_MinusBenchmark;60;-0.182;-0.951;0.3417;0.107;-0.078;0.106;0.204;-2.184
2020-2024;DAX;TopMinusBottom;Annual_BlackLitterman;60;-0.408;-1.026;0.3047;0.374;-0.556;0.159;0.208;-4.891
2020-2024;DAX;TopMinusBottom;Annual_Equal;60;0.381;0.932;0.3515;0.124;-0.339;0.319;0.183;4.569
2020-2024;DAX;TopMinusBottom;Annual_MCap;60;0.405;1.09;0.2759;0.159;-0.371;0.292;0.176;4.857
2020-2024;DAX;TopMinusBottom;Annual_RiskParity;60;0.183;0.538;0.5903;0.134;-0.257;0.252;0.156;2.191
2020-2024;DAX;TopMinusBottom;BuyHold_Equal;60;-0.033;-0.079;0.9367;0.263;-0.258;-0.308;0.262;-0.392
2020-2024;DAX;TopMinusBottom;BuyHold_MCap;60;-0.091;-0.239;0.8109;0.294;-0.059;-0.162;0.249;-1.09
2020-2024;SP100;Bottom;Annual_BlackLitterman;60;-0.113;-0.321;0.7483;0.817;-0.389;0.298;0.731;-1.351
2020-2024;SP100;Bottom;Annual_BlackLitterman_MinusBenchmark;60;-0.445;-1.166;0.2435;-0.152;-0.123;0.367;0.301;-5.339
2020-2024;SP100;Bottom;Annual_Equal;60;-0.031;-0.112;0.9107;0.978;-0.236;0.21;0.852;-0.37
2020-2024;SP100;Bottom;Annual_Equal_MinusBenchmark;60;-0.26;-1.134;0.2568;0.064;-0.152;-0.013;0.054;-3.123
2020-2024;SP100;Bottom;Annual_MCap;60;-0.005;-0.021;0.9835;1.0;-0.386;0.144;0.853;-0.062
2020-2024;SP100;Bottom;Annual_MCap_MinusBenchmark;60;-0.316;-1.137;0.2554;0.022;-0.136;0.219;0.167;-3.788
2020-2024;SP100;Bottom;Annual_RiskParity;60;-0.176;-0.672;0.5016;0.961;-0.276;0.208;0.851;-2.113
2020-2024;SP100;Bottom;Annual_RiskParity_MinusBenchmark;60;-0.464;-1.627;0.1036;-0.019;-0.029;0.284;0.234;-5.565
2020-2024;SP100;Bottom;BuyHold_Equal;60;-0.076;-0.348;0.7275;0.977;-0.301;0.23;0.862;-0.916
2020-2024;SP100;Bottom;BuyHold_Equal_MinusBenchmark;60;-0.285;-1.558;0.1193;0.061;-0.217;0.009;0.1;-3.414
2020-2024;SP100;Bottom;BuyHold_MCap;60;0.035;0.129;0.8977;0.989;-0.456;0.09;0.829;0.419
2020-2024;SP100;Bottom;BuyHold_MCap_MinusBenchmark;60;-0.296;-1.15;0.2503;0.016;-0.256;0.167;0.173;-3.558
2020-2024;SP100;Top;Annual_BlackLitterman;60;0.086;0.224;0.823;0.804;-0.365;-0.17;0.7;1.034
2020-2024;SP100;Top;Annual_BlackLitterman_MinusBenchmark;60;-0.083;-0.194;0.8466;-0.198;-0.125;-0.105;0.207;-0.992
2020-2024;SP100;Top;Annual_Equal;60;-0.36;-1.15;0.2502;0.817;-0.064;0.325;0.801;-4.32
2020-2024;SP100;Top;Annual_Equal_MinusBenchmark;60;-0.564;-1.858;0.0631;-0.097;0.016;0.09;0.091;-6.772
2020-2024;SP100;Top;Annual_MCap;60;0.199;0.618;0.5368;0.913;-0.399;-0.195;0.792;2.391
