Date;Constituent Name;ISIN;Market Cap;ESG Score;ESG Grade;Economic Sector
01.01.2023;DAIMLER TRUCK AG ORD;DE000DTR0CK8;23820342224;85.1472;A;Industrials
01.01.2023;SIEMENS ENERGY AG ORD;DE000ENER6Y0;12770789267;73.818;B+;Energy
01.01.2023;MERCEDES-BENZ GROUP AG ORD;DE0007100000;65688019246;90.5796;A;Consumer Cyclicals
01.01.2023;BRENNTAG ORD;DE000A1DAHH0;9226740000;61.7025;B;Basic Materials
01.01.2023;AIRBUS SE;NL0000235190;86334351945;81.8622;A-;Industrials
01.01.2023;VONOVIA SE;DE000A1ML7J1;17524616934;83.0469;A-;Real Estate
01.01.2023;DEUTSCHE BOERSE AG ORD;DE0005810055;30666000000;72.0559;B+;Financials
01.01.2023;QIAGEN ORD;NL0015002SN0;10391298683;84.92;A;Healthcare
01.01.2023;DR ING HC F PORSCHE AG PREF;DE000PAG9113;86317250000;NULL;NULL;Consumer Cyclicals
01.01.2024;BASF SE ORD;DE000BASF111;43537231160;88.9027;A;Basic Materials
01.01.2024;INFINEON TECHNOLOGIES ORD;DE0006231004;49363818979;76.5437;A-;Technology
01.01.2024;SIEMENS ORD;DE0007236101;1.36E+11;84.6431;A;Industrials
01.01.2024;E.ON ORD;DE000ENAG999;32092023420;64.0587;B;Utilities
01.01.2024;DEUTSCHE BANK ORD;DE0005140008;25225563945;81.2737;A-;Financials
01.01.2024;SARTORIUS PRF;DE0007165631;22396608000;78.7348;A-;Healthcare
01.01.2024;SAP SE ORD;DE0007164600;1.71E+11;88.3434;A;Technology
